provincia,tipologia,year,infracciones,source
Gipuzkoa,1.4.-Otros contra las personas,2011,1550,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2012,1669,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2013,1738,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2014,1735,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2015,940,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2016,90,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2017,105,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2018,161,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2019,147,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2020,156,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
